,StimOnset,Q1Onset,Seen,Resp1Onset,Q2Onset,Percept,Resp2Onset,ConfQOnset,ConfROnset,ConfRT,ConfRating,Bias,Condition,StimPresent,PerceptC,CorrectSeen,CorrectPercept
0,2.1127803079998557,8.468728361000103,1,9.704376130999663,11.72237672600022,1,12.825965645999531,,,,,,0.0,0.0,Down,0,0.0
1,22.097431559999677,28.461590307000733,1,29.443970547999925,31.461183430001256,1,41.374514286000704,,,,,,0.0,0.0,Down,0,0.0
2,50.659617831001015,56.90962475900051,1,60.34601091700097,62.36377570100012,1,63.67579301300066,66.6944452509997,68.25672466300057,-1.562279412000862,1.0,-0.9,0.0,1.0,Down,-1,1.0
3,74.53508106800109,80.7729738550006,1,82.3348970900006,84.35260795199974,1,85.72691221199966,88.74329453000064,90.83615661300064,-2.092862083,3.0,0.9000000000000007,0.0,1.0,Down,-1,0.0
4,97.12637993300086,103.73839075199976,4,105.81837989700034,107.83614787199986,4,112.64736738300053,115.66770410600111,115.66814617800082,-0.00044207199971424416,3.0,0.9000000000000007,1.0,1.0,Up,0,1.0
5,121.97329296600037,128.5813471190013,1,149.9428115740011,151.96733110100104,1,164.4066766190008,,,,,0.5000000000000003,1.0,1.0,Down,-1,0.0
6,173.70551393800088,180.30004311500124,1,181.21748598399972,183.23159914000098,1,184.50797479500034,187.5260534530007,189.25020078300076,-1.7241473300000507,4.0,0.3000000000000004,1.0,1.0,Down,-1,0.0
7,195.5402782830006,201.79166643200006,1,206.7535683620008,208.76962808400094,1,210.0261176160002,213.04216695099967,214.84459074000006,-1.802423789000386,3.0,-0.4999999999999999,0.0,1.0,Down,-1,1.0
8,221.10702105100063,227.70336255000075,1,229.70921036100117,231.72736620599972,1,232.7809528609996,235.7948621859996,237.17598291600007,-1.3811207300004753,2.0,-0.9,1.0,1.0,Down,-1,1.0
9,243.45670883599996,250.0363777800012,1,252.49870228700092,254.51556730800075,1,285.40541380300056,,,,,0.5000000000000003,1.0,1.0,Down,-1,0.0
10,294.7154189410012,301.32124714600104,1,307.48105043100077,309.5028841660005,1,320.1593156930012,,,,,-0.9,1.0,1.0,Down,-1,1.0
11,329.43882343400037,335.83547567200003,1,348.93535273700036,350.95879881700057,1,378.3195513330011,,,,,,1.0,0.0,Down,0,0.0
12,387.6094141480007,393.8455313880004,1,394.89496951600086,396.9128138420001,1,400.6766411610006,,,,,0.0,0.0,1.0,Down,-1,
13,409.96290725499966,416.5549379940003,1,417.99723358700066,420.013547595001,1,441.15511538899955,,,,,-0.9,1.0,1.0,Down,-1,1.0
14,450.4134552960004,456.80674371700115,1,463.64503279100063,465.6673700909996,1,471.2879034159996,,,,,,1.0,0.0,Down,0,0.0
15,480.57202369300103,486.93650485200124,1,531.3521172569999,533.3773182149998,1,548.077691333001,,,,,,0.0,0.0,Down,0,0.0
16,557.3772777670001,563.6214988749998,1,566.7126733559999,568.7301945600011,1,575.8944203660012,,,,,0.5000000000000003,0.0,1.0,Down,-1,0.0
17,585.187262073001,591.7934952830001,1,593.0089149619998,595.0264575210003,1,598.5684160780002,,,,,0.0,1.0,1.0,Down,-1,
18,607.8553261280013,614.0926385570001,1,623.3132856949996,625.3386237089999,1,633.852755549,636.8754101550003,640.688748083001,-3.813337928000692,4.0,0.0,0.0,1.0,Down,-1,
19,646.9656848960003,653.5805996569998,1,679.1805443949997,681.2044835340002,1,711.9751226000008,,,,,-0.9,1.0,1.0,Down,-1,1.0
20,721.2856499200007,727.874112458001,1,736.1545782370013,738.1787672450009,1,747.1155225300008,750.1401586579996,763.4740843910004,-13.333925733000797,3.0,-0.7,1.0,1.0,Down,-1,1.0
21,769.7398909109997,776.3344879699998,1,797.9774196769995,800.0012813129997,1,806.6992043280006,809.7240430080001,811.692228504,-1.9681854959999328,5.0,0.9000000000000007,1.0,1.0,Down,-1,0.0
22,817.9898804160002,824.5784928940011,1,837.8585730369996,839.8783826660001,1,842.3807337270009,845.3990351550001,892.381698733001,-46.98266357800094,4.0,0.0,1.0,1.0,Down,-1,
23,898.6720825989996,904.9166744970007,1,908.3088682320013,910.3254187620005,1,928.3763634099996,931.4043675860012,934.4509361910004,-3.0465686049992655,3.0,-0.9,0.0,1.0,Down,-1,1.0
24,940.7343720890003,947.3245560670002,1,956.6221542029998,958.646365812001,1,975.6357695280003,978.6617245689995,981.2597856390003,-2.5980610700007674,2.0,0.0,1.0,1.0,Down,-1,
25,987.5391636650002,994.1287682010006,1,995.2361727870011,997.2537549910012,1,1005.4017689150005,1008.4221155520008,1011.4962716450009,-3.074156093000056,4.0,-0.4999999999999999,1.0,1.0,Down,-1,1.0
26,1017.7706581660004,1024.1416862220012,1,1038.0704574390002,1040.095383236001,1,1048.427052762001,,,,,,0.0,0.0,Down,0,0.0
27,1057.7350978819995,1063.9844332450011,1,1070.9550869070008,1072.9796212069996,1,1084.6978277460003,1087.721204206,1093.3896162540004,-5.668412048000391,6.0,0.0,0.0,1.0,Down,-1,
28,1099.6619622819999,1105.8968565659998,1,1117.1159052820003,1119.1405975320013,1,1126.337816878,1129.3632914440004,1131.478942748001,-2.115651304000494,5.0,-0.7,0.0,1.0,Down,-1,1.0
29,1137.7622251410012,1144.3631510800005,1,1152.441552761,1154.4650387849997,1,1161.9470370220006,1164.969254902,1166.2976312760002,-1.3283763740000722,7.0,-0.2999999999999998,1.0,1.0,Down,-1,1.0
30,1172.5902114029996,1179.183557843,1,1180.476501852001,1182.494675621001,1,1183.78017998,,,,,-0.4999999999999999,1.0,1.0,Down,-1,1.0
31,1193.0765126719998,1199.6749273799996,1,1201.3725394770008,1203.3898107700006,1,1210.2502087760004,,,,,0.0,1.0,1.0,Down,-1,
32,1219.5047855470002,1225.8744177919998,1,1228.9426289020012,1230.9598495440005,1,1232.5930111859998,,,,,,0.0,0.0,Down,0,0.0
33,1241.8864606930001,1248.1312484440004,1,1256.967566049001,1258.9928625760003,1,1278.8734411490004,,,,,-0.7,0.0,1.0,Down,-1,1.0
34,1288.184973880001,1294.428818915001,1,1295.6316840010004,1297.646017604,1,1298.6212393280002,,,,,-0.2999999999999998,0.0,1.0,Down,-1,1.0
35,1307.8897075860004,1314.521368955,1,1315.7908514760002,1317.8090429960012,1,1318.9063251120006,1321.923223109001,1323.4000040520004,-1.4767809429995395,5.0,0.3000000000000004,1.0,1.0,Down,-1,0.0
36,1329.6905104220004,1336.2961481750008,1,1339.2256260120012,1341.2443596730009,1,1342.2669186639996,,,,,0.7000000000000005,1.0,1.0,Down,-1,0.0
37,1351.5497849000003,1357.799872077001,1,1358.682871731,1360.6986872630005,1,1361.584647177,,,,,0.5000000000000003,0.0,1.0,Down,-1,0.0
38,1370.8786798519996,1377.4746451700012,1,1379.2010482620008,1381.2189451970007,1,1382.4708853780012,,,,,0.9000000000000007,1.0,1.0,Down,-1,0.0
39,1391.7704163790004,1398.0343600790002,1,1445.3869907080007,1447.411275751001,4,1447.9669677330003,,,,,0.7000000000000005,0.0,1.0,Up,-1,1.0
40,1457.2774990510006,1463.896096855,1,1472.2539450130007,1474.2819476719997,1,1480.8168778060008,,,,,-0.7,1.0,1.0,Down,-1,1.0
41,1490.110427054,1496.7015968510004,1,1526.6101070610002,1528.6338895050012,1,1529.8395882550012,1532.8560421490001,1534.8009947299997,-1.9449525809995976,4.0,-0.2999999999999998,1.0,1.0,Down,-1,1.0
42,1541.08590292,1547.6940698830003,1,1549.454392394,1551.469846201,1,1552.430651734001,,,,,-0.4999999999999999,1.0,1.0,Down,-1,1.0
43,1561.7285739050003,1567.9742983260003,1,1571.1862300000012,1573.2015832180005,1,1574.2974584800013,,,,,-0.2999999999999998,0.0,1.0,Down,-1,1.0
44,1583.5913209720002,1589.8368954360012,1,1590.8313791090004,1592.8488493550012,1,1594.3944375030005,1597.4116415440003,1598.4216231890005,-1.0099816450001526,3.0,-0.4999999999999999,0.0,1.0,Down,-1,1.0
45,1604.6754783690012,1611.0534213210012,1,1631.5291963510008,1633.5533375859995,1,1651.2201807180008,,,,,,0.0,0.0,Down,0,0.0
46,1660.5345586479998,1666.774007973001,1,1668.1914497030011,1670.210135995001,1,1675.3171933800004,1678.347689309001,1680.7859040309995,-2.43821472199852,2.0,0.5000000000000003,0.0,1.0,Down,-1,0.0
47,1687.0857378630008,1693.342540099,1,1694.9673485130006,1696.981293222001,1,1698.2261070530003,1701.2477855020006,1705.5183713959996,-4.270585893998941,3.0,-0.4999999999999999,0.0,1.0,Down,-1,1.0
48,1711.826605579001,1718.4478862619999,4,1719.8506990349997,1721.868357757001,4,1723.2423378460007,,,,,0.7000000000000005,1.0,1.0,Up,0,1.0
49,1732.4883282120009,1738.8518891510012,4,1740.350165639,1742.3678246809995,4,1743.3349632160007,,,,,,0.0,0.0,Up,1,0.0
50,1752.6244613899999,1759.237830862001,4,1761.3273319070013,1763.343588111,4,1764.547153132,1767.562242553,1769.449213715001,-1.8869711620009184,7.0,-0.9,1.0,1.0,Up,0,0.0
51,1775.7355198550013,1782.3282411170003,4,1783.5139057300003,1785.5314810439995,4,1788.37594765,,,,,0.5000000000000003,1.0,1.0,Up,0,1.0
52,1797.6801604579996,1804.2804732090008,1,1808.9285560690005,1810.947644101001,1,1819.326377321,1822.3508303620001,1824.2156398610005,-1.86480949900033,4.0,-0.7,1.0,1.0,Down,-1,1.0
53,1830.4726488430006,1836.8258078649997,1,1837.7791587009997,1839.7963846350012,1,1840.8079676119996,,,,,,1.0,0.0,Down,0,0.0
